id,examType,level,prompt,scenario,explanationJa,explanationVi,skillTag,difficulty,optionA,optionB,optionC,optionD,answer
BJT-SC-001,BJT,Mid,"あなたは社内ITサポート担当です。最も適切な対応はどれですか。","月曜9時、営業部の先輩から『顧客訪問前にタブレットがVPN接続できない。30分後に出発する』と電話。あなたは原因が社内認証サーバー側か端末側か未確認。ログ確認には10分、端末再起動と再設定は5分程度。","【正解B】出発時刻が迫っているため、まず影響を最小化する暫定策（代替手段）を提示しつつ、必要情報を短時間でヒアリングし、並行して原因切り分けを行うのが適切。Aは調査優先で相手の業務リスクを放置。Cは上長承認待ちで時間を浪費。Dは根拠なく端末故障と断定して責任転嫁になる。","【Đáp án B】Thời gian gấp nên cần đưa phương án tạm thời giảm rủi ro (ví dụ dùng hotspot/thiết bị dự phòng) đồng thời hỏi nhanh thông tin và khoanh vùng nguyên nhân song song. A ưu tiên điều tra khiến rủi ro công việc tăng. C chờ phê duyệt làm mất thời gian. D kết luận hỏng máy vô căn cứ và dễ đổ lỗi.","エスカレーション;報連相;電話マナー",2,"『原因が分かるまで待ってください。ログを見て折り返します』と言って調査後に連絡する","『出発まで時間がないので、まず社内Wi-Fiではなくテザリングで接続を試し、同時にエラー表示と直近の変更点を教えてください。こちらもログを確認します』と伝える","『念のため上長に相談してから対応しますので、少しお待ちください』と伝える","『端末の故障かもしれません。営業部で予備機を探してください』と伝える",B
BJT-SC-002,BJT,Mid,"あなたは取引先への納期調整メールを作成します。最も適切なのはどれですか。","部品メーカーから入荷遅延連絡が入り、あなたの部署が納品予定の試作品が2日遅れる見込み。顧客（開発責任者）とは来週の評価会議に間に合わせる必要がある。代替として一部機能のみ先行納品は可能。","【正解D】遅延の事実を早期に謝罪し、影響・代替案（先行納品/範囲）と判断期限を提示して合意形成を図るのが交渉として最適。Aは事後報告で信頼低下。Bは理由だけで代替策がなく不親切。Cは相手都合を確認せず一方的に延期提案。","【Đáp án D】Cần báo sớm, xin lỗi, nêu tác động và phương án thay thế (giao trước phần chức năng), kèm hạn chốt để thống nhất. A báo muộn làm mất niềm tin. B chỉ nêu lý do không có phương án. C đề xuất dời lịch một chiều.","メールマナー;交渉;報連相",3,"会議の前日に『2日遅れます。すみません』だけ送る","『仕入先が遅れているので納期は2日後ろ倒しです』と理由中心で送る","『会議は延期してください』と先に依頼し、詳細は後日送る","『入荷遅延により試作品が2日遅延見込みです。ご迷惑をおかけし申し訳ございません。代替として機能A/Bのみを会議前日に先行納品可能です。会議要件に照らし、どちらが適切か本日中にご意向をいただけますでしょうか』と送る",D
BJT-SC-003,BJT,High,"あなたはプロジェクトリーダーです。最も適切な指示はどれですか。","他部署のAPI変更で自チームのテストが止まり、リリースまで残り5日。相手部署は『今週は別案件で手一杯』と言う。あなたのチームは暫定対応（旧API互換）を作ると2日かかる。","【正解A】期限と影響を整理し、相手部署へ優先度調整を依頼しつつ、並行して暫定対応の着手判断を行うのが現実的。エスカレーションも含めた報連相が必要。Bは待つだけでリスク増。Cは感情的で関係悪化。Dは相手任せで責任放棄。","【Đáp án A】Cần tổng hợp tác động/độ ưu tiên, đề nghị bộ phận kia điều chỉnh ưu tiên và đồng thời quyết định có làm phương án tạm (tương thích API cũ) để giảm rủi ro. B chỉ chờ sẽ tăng rủi ro. C cảm tính làm xấu quan hệ. D phó mặc là thiếu trách nhiệm.","エスカレーション;報連相;スケジュール調整",4,"影響（停止中のテスト範囲、リリースリスク、必要な修正内容）を文書化し、相手部署の責任者へ優先対応を依頼。並行して自チームは暫定互換対応の着手可否を判断し、上長にも状況共有する","相手部署が空くまで待ち、こちらの作業は他タスクに回す","『困るので早く直してください』とだけ強く要求する","相手部署に『こちらで何とかするので任せます』と伝え、以降の確認をしない",A
BJT-SC-004,BJT,Mid,"あなたは会議のファシリテーターです。最も適切なのはどれですか。","定例会で議題が多く、開始10分で1つ目の議題が脱線。部長は細部に入りがちで、他メンバーは発言しづらい雰囲気。残り時間は20分。","【正解C】時間制約を明確にし、論点を整理して別枠（宿題/別会議）に切り出し、意思決定が必要な事項に戻すのが会議運営として適切。Aは脱線を助長。Bは部長の発言を遮るだけで反発を招く。Dは会議目的を失う。","【Đáp án C】Nêu rõ hạn thời gian, tóm tắt lại điểm tranh luận, tách phần chi tiết sang mục hành động/phiên khác và đưa cuộc họp về nội dung cần quyết định. A làm lạc đề thêm. B cắt ngang thô bạo dễ phản ứng. D bỏ họp mất mục tiêu.","会議運営;報連相",3,"部長の話が終わるまで黙って聞き、時間が足りなければ延長する","『時間がないのでやめてください』と部長の話を途中で止める","『論点は◯◯と理解しました。詳細検討は別途30分枠を設定し、今日は意思決定が必要なAとBに戻りましょう』と提案する","議題が消化できないので、会議自体を中止して後日やり直す",C
BJT-SC-005,BJT,Mid,"あなたは新人です。最も適切な報告はどれですか。","上司から『今日中に見積もりのたたき台を作って』と言われたが、必要な前提（仕様、数量、納期）が不明。上司は外出中で夕方まで戻らない。","【正解B】不明点を放置せず、現時点で確認すべき項目と仮置き前提を整理して早めに連絡し、判断を仰ぐのが報連相として適切。Aは手戻りリスク。Cは丸投げで主体性がない。Dは期限を守れない。","【Đáp án B】Không để mơ hồ, cần liệt kê câu hỏi và giả định tạm, báo sớm để xin quyết định. A làm theo cảm tính dễ phải làm lại. C là đẩy việc, thiếu chủ động. D không đáp ứng hạn.","報連相;スケジュール調整",2,"仕様が分からないが、とりあえず自分の想像で作って提出する","必要な前提事項を箇条書きにし、仮置きで作る場合の前提案も添えて『どの前提で進めるべきか』を早めにメール/チャットで確認する","上司が戻るまで待ち、戻ったら『分からないので教えてください』とだけ聞く","今日中は無理だと判断し、何も連絡せず翌日に延期する",B
BJT-SC-006,BJT,High,"あなたはカスタマーサポートの責任者です。最も適切な対応はどれですか。","主要顧客から『請求書の宛名が間違っており、社内処理が止まっている。今日中に正しいものを再発行してほしい』とクレーム。経理は締め作業中で手が離せないと言う。","【正解D】顧客影響が大きいため、まず謝罪し、再発行の期限を確約するために経理へ優先対応を正式に依頼し、必要なら上長巻き込みでエスカレーションする。併せて再発防止の確認も行う。Aは自部署で勝手に改変は不正確。Bは経理都合を押し付ける。Cは顧客に対応を求めるのは不適切。","【Đáp án D】Ảnh hưởng lớn nên xin lỗi, cam kết thời hạn, yêu cầu kế toán ưu tiên xử lý chính thức và cần thì escalations. Đồng thời xác minh để ngăn tái diễn. A tự sửa dễ sai/không đúng quy trình. B áp đặt lý do nội bộ. C bắt khách tự xử lý là không phù hợp.","クレーム対応;謝罪;エスカレーション",4,"PDFを自分で編集して宛名だけ直し、顧客に送る","『経理が忙しいので明日になります』と顧客に伝える","顧客に『一旦そちらで手書き修正して処理してください』と依頼する","顧客へ即時謝罪し、必要情報を確認したうえで経理へ優先再発行を依頼。間に合わない場合は上長経由で締め作業の調整を行い、当日中の再発行を確約する",D
BJT-SC-007,BJT,Mid,"あなたは営業担当です。最も適切な電話対応はどれですか。","取引先から電話。担当者名を聞き取れず、さらに相手は『先週送った契約書の件』とだけ言う。あなたは複数案件を抱えている。","【正解A】電話マナーとして、聞き取りづらい点は丁寧に再確認し、要件を特定するために案件識別情報（会社名・担当者名・送付日・件名）を質問して整理するのが適切。Bは曖昧なまま話を進めて混乱。Cは一方的に折り返しで不親切。Dは相手に責任転嫁。","【Đáp án A】Cần lịch sự xác nhận lại tên/người phụ trách và thông tin nhận diện案件 để tránh nhầm. B tiếp tục khi chưa rõ sẽ rối. C cúp để gọi lại ngay là thiếu phục vụ. D đổ lỗi cho khách.","電話マナー;報連相",2,"『恐れ入りますが、お名前をもう一度頂戴できますでしょうか。契約書は複数ございますので、送付日や件名も教えていただけますか』と確認する","分からないまま『はい、承知しました』と言って会話を続ける","『後でこちらからかけ直します』と言ってすぐ切る","『聞こえませんので大きい声で話してください』と言う",A
BJT-SC-008,BJT,Mid,"あなたは人事（HR）です。最も適切な対応はどれですか。","社員から『同僚に私生活についてしつこく聞かれて困っている』と相談。本人は大事にしたくないが、状況は継続している。","【正解C】本人の意向を尊重しつつ、事実確認と再発防止のための対応（当事者への注意、部署長への一般的注意喚起、相談窓口案内）を段階的に行うのが適切。Aは放置。Bは即懲戒で過剰。Dは本人に我慢を強いる。","【Đáp án C】Tôn trọng mong muốn của người bị hại nhưng vẫn cần xác minh sự việc và có biện pháp ngăn tái diễn theo từng bước (nhắc nhở, cảnh báo chung, 안내 kênh tư vấn). A bỏ mặc. B kỷ luật ngay quá mức khi chưa điều tra. D bắt nạn nhân chịu đựng.","報連相;エスカレーション",3,"『大事にしたくないなら様子を見ましょう』と言って記録もしない","すぐに懲戒処分を決め、当事者を呼び出す","匿名性や希望を確認し、事実関係を整理したうえで、まず当事者への注意（行為の禁止）を行い、必要なら上司・コンプラ窓口へ段階的にエスカレーションする","『社会人ならそのくらいは流してください』と言う",C
BJT-SC-009,BJT,High,"あなたは購買担当です。最も適切な交渉はどれですか。","長年取引しているベンダーが値上げを提示。理由は原材料高。あなたは予算が固定で、他社に切替えると品質評価に1か月かかる。来月から量産開始。","【正解B】関係維持と現実制約を踏まえ、値上げ幅の根拠確認、段階的適用や数量条件、代替案（仕様変更・長期契約）を提示して落とし所を探るのが交渉として適切。Aは即拒否で関係悪化。Cは無条件承諾で予算破綻。Dは脅しで信頼低下。","【Đáp án B】Cần xác minh căn cứ tăng giá, đề xuất áp dụng theo giai đoạn/điều kiện số lượng, phương án như hợp đồng dài hạn hay điều chỉnh spec để tìm điểm cân bằng. A từ chối ngay làm xấu quan hệ. C chấp nhận vô điều kiện gây vỡ ngân sách. D đe dọa làm mất tin cậy.","交渉;報連相",4,"『予算がないので無理です』と即断で断る","値上げ根拠（指数・内訳）を確認しつつ、量産開始までの期間は据置/緩やかな段階適用、または数量コミットと引き換えの値上げ幅圧縮を提案する","今後のために関係を重視し、提示額をそのまま受け入れる","『他社に切り替えます』と先に通告して値下げを迫る",B
BJT-SC-010,BJT,Mid,"あなたは経理担当です。最も適切な対応はどれですか。","同僚が『立替精算の領収書をなくした。今週締めなので何とかして』と相談。規程では原則領収書必須だが、例外として紛失届と上長承認で処理可。","【正解A】規程に沿って例外手続きを案内し、必要書類と承認フローを明確にするのが適切。Bは規程違反。Cは突き放しで支援不足。Dは締め遅延を招く。","【Đáp án A】Theo quy định, hướng dẫn thủ tục ngoại lệ (đơn mất, phê duyệt cấp trên) và nêu rõ hồ sơ/quy trình là phù hợp. B vi phạm quy định. C từ chối hoàn toàn thiếu hỗ trợ. D trì hoãn làm ảnh hưởng closing.","報連相;社内規程",2,"紛失届の書式と必要事項を渡し、『上長承認があれば例外処理可能』と締めまでの提出期限も伝える","『少額ならいいですよ』と言って口頭で処理する","『領収書がないなら無理です』とだけ言う","締めが終わってから考えるよう伝え、今週は放置する",A
